nom_complet,genre,pays,age,revenu_annuel,type_abonnement,duree_abonnement_mois,nb_connexions_mensuelles,dernier_dispositif,derniere_connexion,churn,jour_semaine,mois
Rachel Short,Femme,Belgique,55.0,49081.46,Standard,3.9,24,Mobile,2025-01-02 21:00:32,1,3,1
Stephen Clark,Homme,Algérie,65.0,47349.63,Standard,34.8,22,Mobile,2025-02-14 23:26:31,1,4,2
Devin Morgan,Femme,Belgique,27.0,42322.83,Premium,2.1,26,Mobile,2025-06-19 18:18:00,0,3,6
Joshua Morris,Homme,Belgique,68.0,32767.77,Familial,8.7,31,Mobile,2025-01-24 03:21:24,1,4,1
Michael Perkins,Homme,Canada,42.0,31090.19,Premium,2.8,24,Mobile,2025-03-29 14:38:26,0,5,3
Daniel Franklin,Homme,Maroc,60.0,34176.33,Premium,33.7,26,Mobile,2025-03-06 04:26:17,0,3,3
Jonathan Bryant,Femme,Maroc,39.0,42479.76,Premium,12.7,23,Mobile,2025-01-03 21:50:45,0,4,1
Daniel Robinson,Femme,Canada,64.0,48861.89,Familial,20.9,23,SmartTV,2025-02-01 03:13:58,1,5,2
Brian Simmons,Femme,Maroc,51.0,32084.77,Standard,1.5,24,Mobile,2025-07-06 01:01:48,0,6,7
John Braun,Femme,Algérie,27.0,31541.58,Premium,0.9,30,PC,2025-03-29 08:51:47,0,5,3
Steven Washington,Femme,France,48.0,56224.34,Premium,9.9,27,Mobile,2025-06-18 06:59:58,0,2,6
Chase White,Femme,Canada,59.0,43386.25,Standard,6.0,20,SmartTV,2025-06-25 10:12:04,1,2,6
Oscar Soto,Homme,France,44.0,65270.02,Premium,15.0,30,SmartTV,2025-05-26 02:10:42,0,0,5
Alexander Coleman,Homme,Belgique,34.0,35282.55,Premium,10.1,34,Mobile,2025-05-25 06:53:42,1,6,5
Tina Henry,Femme,Maroc,45.0,50165.42,Premium,11.5,30,PC,2025-05-05 04:20:12,0,0,5
Jennifer Johnson,Homme,Belgique,22.0,37644.07,Standard,3.4,21,PC,2025-05-07 12:10:57,1,2,5
Carlos Thomas,Homme,Belgique,34.0,14955.68,Premium,35.5,22,Tablette,2025-05-06 17:59:24,0,1,5
Deborah Ruiz,Femme,Canada,33.0,32984.59,Premium,17.0,23,SmartTV,2025-06-28 23:30:13,1,5,6
Brittany Hendricks,Femme,Canada,57.0,35472.14,Standard,13.8,29,SmartTV,2025-01-24 13:29:50,1,4,1
Jeffrey Wilkerson,Homme,Maroc,29.0,64309.69,Standard,19.5,29,SmartTV,2025-06-02 00:03:54,1,0,6
Louis Smith,Femme,France,55.0,41176.81,Standard,5.9,34,SmartTV,2025-04-15 08:36:40,0,1,4
Brandon Dixon,Homme,Belgique,68.0,55550.46,Familial,5.8,28,SmartTV,2025-06-24 02:42:13,1,1,6
Stephanie Osborne,Femme,Maroc,45.0,40728.87,Standard,6.5,15,SmartTV,2025-02-26 08:03:56,0,2,2
Brian Valenzuela,Non précisé,Canada,51.0,34402.06,Standard,32.9,21,Mobile,2025-03-25 19:15:41,1,1,3
Sara Hammond,Homme,Maroc,29.0,50075.12,Standard,19.8,22,PC,2025-01-15 07:00:55,1,2,1
Travis Osborne,Homme,Algérie,66.0,28374.02,Premium,1.7,36,SmartTV,2025-06-29 16:35:19,0,6,6
Jason Cruz,Femme,Canada,60.0,40728.87,Familial,11.7,33,Mobile,2025-02-21 07:29:07,1,4,2
Sarah Cook,Homme,Belgique,62.0,55017.48,Standard,12.3,32,SmartTV,2025-03-08 06:06:17,1,5,3
Jonathan Walters,Femme,France,30.0,44010.12,Standard,4.2,24,Mobile,2025-03-02 07:57:24,0,6,3
Monica Robinson,Femme,Belgique,64.0,38136.89,Premium,31.9,30,SmartTV,2025-06-18 06:42:46,0,2,6
Felicia Owen,Homme,Belgique,23.0,36378.62,Premium,21.3,20,Mobile,2025-04-20 11:51:04,0,6,4
Matthew Murphy,Homme,Belgique,43.0,36811.43,Premium,49.6,28,Mobile,2025-06-09 10:11:39,0,0,6
Joel Hess,Homme,Algérie,52.0,48575.32,Familial,23.6,23,Mobile,2025-06-22 18:39:13,0,6,6
Kaitlyn Davis,Homme,Belgique,65.0,15400.7,Premium,0.4,19,PC,2025-03-28 20:07:09,0,4,3
Jimmy Daniels,Femme,Maroc,43.761429322122964,40728.87,Familial,14.1,23,SmartTV,2025-04-13 17:58:24,0,6,4
Joshua Jones,Homme,Maroc,62.0,36928.83,Familial,3.8,29,Mobile,2025-06-29 13:22:48,0,6,6
Karen Walters,Femme,France,37.0,41837.47,Premium,16.7,21,PC,2025-02-03 02:57:51,0,0,2
Jennifer Fox,Femme,Maroc,43.761429322122964,51888.5,Premium,15.1,20,Mobile,2025-04-26 07:11:32,0,5,4
Mary Woodward,Femme,Algérie,51.0,57953.23,Standard,7.0,26,Mobile,2025-04-19 08:45:53,1,5,4
Linda Flores,Non précisé,Canada,19.0,34288.14,Standard,0.6,23,Mobile,2025-07-01 06:51:37,1,1,7
Ryan Singh,Femme,France,29.0,38556.75,Premium,11.7,18,Mobile,2025-03-04 17:38:01,0,1,3
Cody Cortez,Femme,Belgique,34.0,40193.55,Familial,1.4,22,Mobile,2025-01-12 11:26:30,1,6,1
Jerry Vaughn,Femme,Algérie,54.0,63249.46,Standard,3.3,33,Mobile,2025-07-04 21:26:50,0,4,7
Andrew Lucero,Femme,France,22.0,38127.52,Standard,22.7,22,Mobile,2025-06-30 21:53:23,0,0,6
Ryan Rivas,Non précisé,Maroc,38.0,54188.23,Premium,13.5,24,PC,2025-02-11 17:35:19,0,1,2
Michael Herrera,Homme,Maroc,41.0,57634.99,Familial,0.6,20,PC,2025-07-05 15:48:34,0,5,7
Ralph Sharp,Femme,France,43.761429322122964,43545.13,Standard,30.8,29,Mobile,2025-05-10 02:33:48,0,5,5
Dean Sanchez,Femme,France,59.0,56446.43,Standard,2.0,31,Mobile,2025-04-12 10:24:41,0,5,4
William Bryant,Homme,Canada,29.0,48342.43,Familial,25.8,29,SmartTV,2025-03-07 09:30:43,0,4,3
Mrs. Teresa Campbell DDS,Homme,France,46.0,25990.0,Standard,11.1,31,Inconnu,2025-04-19 16:14:55,0,5,4
John Watts,Homme,Belgique,53.0,43858.61,Familial,13.3,21,Tablette,2025-03-22 23:32:59,0,5,3
Hannah Edwards,Femme,Algérie,33.0,40728.87,Premium,9.7,32,Mobile,2025-01-22 01:56:47,1,2,1
Sherry Collins,Femme,Maroc,34.0,37105.57,Standard,23.6,26,SmartTV,2025-05-02 03:58:15,1,4,5
Elizabeth Ford,Femme,Canada,37.0,39213.83,Standard,31.1,22,SmartTV,2025-04-26 10:44:57,1,5,4
Breanna Anthony,Homme,Maroc,50.0,43934.33,Premium,16.6,25,Mobile,2025-04-15 07:04:26,0,1,4
Michael Shaffer,Femme,Algérie,64.0,35662.45,Standard,1.6,26,Mobile,2025-04-29 19:27:52,0,1,4
Christopher Salazar,Homme,Maroc,43.0,40728.87,Premium,4.4,26,Tablette,2025-01-16 22:44:45,0,3,1
Alyssa Campbell,Femme,Maroc,56.0,47184.87,Standard,33.9,22,PC,2025-06-10 17:59:33,0,1,6
Tracey Gonzales,Femme,Algérie,31.0,15220.51,Standard,30.1,23,SmartTV,2025-01-02 22:57:12,0,3,1
Amy Mercer,Homme,France,24.0,40728.87,Standard,9.1,26,Mobile,2025-02-11 13:21:21,0,1,2
Sarah Cox,Femme,Canada,21.0,40969.5,Familial,12.0,30,SmartTV,2025-03-06 11:49:26,1,3,3
Amy Jordan,Femme,Algérie,46.0,31827.34,Standard,12.7,35,PC,2025-01-30 00:37:08,0,3,1
Courtney Gutierrez,Femme,Algérie,29.0,40728.87,Standard,14.36419689119171,20,SmartTV,2025-03-27 09:50:18,0,3,3
Amy Cherry,Homme,Belgique,47.0,50783.78,Familial,42.1,30,SmartTV,2025-02-03 03:11:00,0,0,2
William Chandler,Femme,France,20.0,59420.58,Familial,3.1,20,Mobile,2025-01-08 04:41:33,0,2,1
Kevin Neal,Homme,France,42.0,36867.45,Standard,28.2,24,Mobile,2025-01-20 17:27:29,1,0,1
Patrick Watkins,Homme,Belgique,59.0,41885.3,Premium,0.2,29,Mobile,2025-07-07 06:38:49,1,0,7
Megan Burns,Femme,France,58.0,8210.81,Premium,8.5,28,SmartTV,2025-02-26 03:21:19,0,2,2
Michele Gross,Femme,Belgique,60.0,56218.03,Standard,15.5,24,Mobile,2025-06-27 02:35:17,0,4,6
Deanna Green,Femme,France,43.761429322122964,58362.34,Standard,3.8,20,SmartTV,2025-02-19 07:10:07,0,2,2
Holly Thompson,Homme,Belgique,67.0,47979.13,Familial,5.5,25,SmartTV,2025-06-17 13:47:54,0,1,6
Donna Flores,Femme,Algérie,45.0,54412.18,Familial,0.9,19,SmartTV,2025-01-21 13:44:48,0,1,1
Gilbert Rodriguez,Non précisé,Algérie,65.0,40728.87,Standard,18.3,24,Mobile,2025-03-11 01:19:32,0,1,3
Michael Shields,Homme,Maroc,40.0,37864.74,Premium,3.1,21,Mobile,2025-02-09 13:59:05,0,6,2
Eric Khan,Femme,Maroc,23.0,46238.36,Standard,3.0,18,Tablette,2025-05-08 15:13:19,0,3,5
Diana Mitchell,Homme,France,42.0,50034.68,Standard,5.4,18,Mobile,2025-06-22 23:19:07,0,6,6
James Cline,Femme,Belgique,52.0,37922.16,Standard,27.7,32,SmartTV,2025-03-12 15:06:17,0,2,3
Christopher Lynn,Homme,Canada,59.0,30016.54,Standard,11.3,24,Mobile,2025-06-28 12:17:13,0,5,6
Tammy Peterson,Homme,Algérie,35.0,32340.61,Familial,0.2,28,Mobile,2025-01-30 15:11:23,0,3,1
Sheryl Mcbride,Homme,Belgique,37.0,40734.73,Premium,3.3,27,Mobile,2025-06-18 00:09:14,0,2,6
Jessica Miller,Homme,France,30.0,40897.06,Standard,34.0,25,SmartTV,2025-06-02 15:29:04,1,0,6
Paula Sutton,Femme,Belgique,31.0,34661.27,Standard,47.0,27,Mobile,2025-03-07 21:34:52,0,4,3
April Fischer,Femme,Belgique,36.0,29159.67,Premium,35.6,30,PC,2025-02-07 04:25:59,0,4,2
Todd Young,Homme,Algérie,24.0,41853.81,Familial,1.2,25,PC,2025-05-19 04:15:48,1,0,5
Kevin Moore,Femme,France,40.0,41323.85,Standard,15.5,21,Mobile,2025-06-21 03:29:17,0,5,6
Benjamin Martin,Femme,Belgique,56.0,49802.42,Premium,19.0,21,Mobile,2025-06-22 20:53:35,0,6,6
Kimberly Boyer,Femme,Algérie,40.0,34884.78,Premium,2.9,25,PC,2025-05-25 11:43:58,1,6,5
Thomas Booker,Homme,Maroc,69.0,45403.2,Standard,2.1,22,Mobile,2025-01-14 03:05:13,1,1,1
Adam Chung,Femme,Maroc,64.0,42631.72,Standard,14.36419689119171,33,Mobile,2025-04-07 22:25:08,0,0,4
Rebecca Johnson,Femme,France,24.0,78917.12,Standard,4.0,27,SmartTV,2025-01-01 09:55:22,1,2,1
Laura Carlson,Femme,France,66.0,67695.0,Standard,37.4,29,Mobile,2025-04-12 00:02:48,0,5,4
Teresa Zimmerman,Femme,Belgique,57.0,48346.28,Familial,19.6,32,PC,2025-04-06 21:08:00,0,6,4
Richard Smith,Femme,Maroc,60.0,74610.79,Standard,19.4,18,Mobile,2025-06-17 18:24:27,0,1,6
Melinda Ponce,Femme,Belgique,66.0,41241.26,Familial,0.1,29,Inconnu,2025-05-06 07:52:31,1,1,5
Mark Johnson,Femme,Belgique,43.0,64504.91,Standard,3.7,22,Mobile,2025-06-04 21:44:12,0,2,6
Teresa Brooks,Femme,Maroc,39.0,32091.92,Familial,33.0,22,Mobile,2025-04-11 02:39:24,0,4,4
Lisa Cowan,Femme,Canada,32.0,20026.28,Premium,1.9,33,SmartTV,2025-02-16 23:49:05,0,6,2
Cristina Anderson,Homme,Maroc,38.0,43086.39,Premium,20.5,33,Mobile,2025-02-28 02:35:54,0,4,2
Charlotte Gardner,Femme,Belgique,21.0,37112.02,Premium,16.9,24,SmartTV,2025-03-06 21:55:37,0,3,3
Jason Vazquez Jr.,Femme,France,23.0,40728.87,Standard,4.2,29,Mobile,2025-02-22 07:22:32,0,5,2
Jody Clark,Homme,France,50.0,33355.75,Premium,9.1,27,SmartTV,2025-05-17 00:25:57,0,5,5
Tiffany Ferguson,Homme,France,60.0,25007.26,Standard,2.3,30,Mobile,2025-02-08 16:28:22,0,5,2
Jacob Wilson,Femme,Algérie,33.0,26704.2,Familial,3.2,30,PC,2025-02-19 20:26:28,0,2,2
Michelle Watson,Homme,France,50.0,29928.16,Standard,11.0,26,Mobile,2025-02-24 21:33:43,0,0,2
Madison Smith,Homme,Algérie,34.0,56253.29,Premium,17.6,24,PC,2025-03-13 20:00:12,0,3,3
William Cross,Femme,Belgique,35.0,40008.52,Premium,0.8,25,Mobile,2025-01-28 08:12:35,0,1,1
Kevin Mooney,Homme,Algérie,66.0,37894.61,Standard,33.6,29,SmartTV,2025-07-06 07:56:25,1,6,7
Tracy Diaz,Femme,Algérie,53.0,56721.45,Familial,7.0,23,PC,2025-02-05 05:32:32,0,2,2
Veronica Johnson,Homme,Canada,31.0,48526.59,Standard,19.3,24,SmartTV,2025-05-22 06:12:55,0,3,5
Michael Burgess,Femme,France,61.0,49032.19,Premium,2.3,26,Tablette,2025-06-01 12:33:59,0,6,6
Phillip Wilson,Femme,Belgique,63.0,25750.42,Standard,5.6,26,PC,2025-02-11 04:06:15,0,1,2
Jerry Garcia,Homme,Maroc,54.0,36052.67,Standard,17.2,27,Mobile,2025-02-27 10:14:04,0,3,2
Jennifer Bauer,Homme,France,41.0,44311.63,Standard,16.7,17,Mobile,2025-03-23 00:39:25,1,6,3
Michael Marks,Homme,Canada,29.0,46565.7,Familial,12.2,18,Mobile,2025-07-09 12:32:21,0,2,7
Mrs. Crystal Cunningham,Femme,Algérie,26.0,29699.74,Standard,18.2,21,SmartTV,2025-02-28 03:42:54,1,4,2
Nicholas Williams,Homme,Belgique,61.0,15219.0,Standard,9.0,34,PC,2025-02-11 06:37:33,0,1,2
David Lawson,Femme,Belgique,23.0,40341.49,Premium,7.8,18,Mobile,2025-06-07 02:57:37,0,5,6
Paige Cook,Homme,France,43.0,34695.92,Standard,17.8,35,Mobile,2025-04-14 04:03:20,0,0,4
David Robinson,Homme,Belgique,35.0,55850.17,Standard,6.4,26,SmartTV,2025-06-11 17:27:31,0,2,6
Edward Wilson,Homme,Maroc,33.0,50483.54,Premium,4.0,31,Mobile,2025-06-16 08:11:25,0,0,6
Jerry Smith,Non précisé,Belgique,54.0,39635.17,Premium,37.8,18,SmartTV,2025-04-25 00:26:12,1,4,4
Elizabeth Carr,Homme,France,69.0,35246.25,Familial,20.0,22,SmartTV,2025-02-06 09:43:05,0,3,2
David Bowman,Homme,Belgique,40.0,30789.86,Standard,58.5,18,SmartTV,2025-06-16 05:06:42,0,0,6
Erica Villanueva,Femme,Canada,61.0,40954.06,Premium,34.2,30,PC,2025-01-03 05:31:12,1,4,1
Hannah Valenzuela,Homme,Maroc,59.0,40784.21,Standard,13.8,21,Mobile,2025-01-08 13:39:33,0,2,1
Jonathan Armstrong,Homme,France,33.0,39248.33,Standard,28.5,36,PC,2025-03-31 22:16:15,0,0,3
Rhonda Duke DDS,Homme,Belgique,67.0,42917.48,Standard,5.0,19,Mobile,2025-03-22 07:13:08,0,5,3
Angela Lane,Homme,France,66.0,47633.87,Familial,2.0,25,SmartTV,2025-02-14 22:06:19,1,4,2
Dawn Gould,Femme,France,33.0,20517.6,Standard,39.1,25,PC,2025-05-19 21:09:04,1,0,5
Luis White,Femme,Algérie,38.0,37002.28,Premium,14.36419689119171,25,PC,2025-06-07 11:27:01,0,5,6
Sean Moyer,Femme,Algérie,53.0,40728.87,Standard,0.1,23,SmartTV,2025-02-08 18:26:57,0,5,2
William Kane,Femme,France,27.0,56053.68,Standard,45.6,29,Mobile,2025-06-27 06:38:59,0,4,6
Wesley Duffy,Femme,Maroc,36.0,28435.72,Premium,31.3,25,PC,2025-04-29 09:26:32,1,1,4
Jeffrey Miller,Femme,Belgique,45.0,40130.55,Standard,44.7,26,SmartTV,2025-05-18 03:38:26,1,6,5
Holly Robinson,Femme,Belgique,52.0,46732.81,Standard,10.0,22,Tablette,2025-06-21 19:09:40,1,5,6
David Garcia,Femme,Belgique,66.0,36154.45,Standard,16.5,25,Mobile,2025-04-14 15:48:40,1,0,4
Michael Berg,Homme,Algérie,21.0,40297.16,Premium,16.6,23,Mobile,2025-02-10 05:09:44,0,0,2
Kaitlyn Hammond,Femme,Algérie,41.0,57304.07,Premium,2.9,21,Mobile,2025-04-30 20:21:29,0,2,4
John Curtis,Homme,Maroc,45.0,40808.87,Premium,28.3,28,SmartTV,2025-02-28 13:16:26,0,4,2
Douglas Thomas,Homme,Maroc,52.0,63503.86,Standard,30.8,19,Mobile,2025-04-10 21:56:54,0,3,4
Stacey Hunter,Homme,Canada,18.0,41725.23,Familial,17.4,29,SmartTV,2025-05-19 08:28:59,0,0,5
Teresa Erickson,Homme,Canada,48.0,39045.67,Premium,60.3,23,SmartTV,2025-02-01 14:47:20,0,5,2
Timothy Robertson,Homme,France,68.0,11275.79,Standard,13.6,18,Mobile,2025-01-24 11:43:45,0,4,1
Dennis Walton,Homme,Maroc,30.0,40728.87,Familial,3.9,22,PC,2025-04-29 18:13:32,1,1,4
Amy Davis,Homme,Maroc,23.0,39193.25,Standard,16.9,24,PC,2025-01-13 08:33:46,0,0,1
Timothy Allen,Homme,Maroc,29.0,48176.35,Familial,2.4,26,Mobile,2025-01-27 14:13:17,0,0,1
Lisa Sutton,Homme,France,59.0,26155.69,Standard,8.4,34,Mobile,2025-01-13 22:09:08,0,0,1
Robert Nicholson,Homme,Canada,62.0,32764.42,Familial,20.4,27,SmartTV,2025-04-03 01:56:18,0,3,4
Kristina Jones,Homme,France,55.0,43814.9,Premium,4.9,20,SmartTV,2025-01-31 00:29:12,0,4,1
Sarah Moore,Homme,Maroc,22.0,41885.54,Standard,1.7,21,Mobile,2025-01-12 03:56:47,1,6,1
James Knox,Homme,France,18.0,20157.01,Premium,12.4,17,PC,2025-03-04 06:27:10,1,1,3
Taylor Gillespie,Femme,Belgique,48.0,43175.37,Premium,14.36419689119171,23,SmartTV,2025-06-22 22:50:04,0,6,6
Jessica Johnson,Homme,Algérie,43.0,44204.44,Premium,28.5,24,SmartTV,2025-05-18 07:22:12,1,6,5
David Cardenas,Femme,Maroc,55.0,29868.11,Standard,11.2,30,PC,2025-04-04 19:51:31,0,4,4
Wendy Morgan,Femme,Canada,32.0,49950.57,Standard,7.2,23,Mobile,2025-02-15 13:14:49,0,5,2
Samuel Williams,Non précisé,Canada,26.0,40728.87,Standard,8.1,31,PC,2025-02-12 18:24:59,0,2,2
Kelly Villegas,Femme,France,63.0,47532.46,Premium,5.9,26,Mobile,2025-03-25 01:41:43,0,1,3
Cynthia Williams,Homme,Belgique,37.0,56306.82,Premium,5.3,19,Mobile,2025-03-14 11:19:35,0,4,3
Amy Fischer,Homme,Canada,41.0,40046.57,Standard,14.5,19,PC,2025-01-05 15:13:31,0,6,1
William Clark,Femme,Maroc,43.761429322122964,59466.1,Standard,6.1,17,Mobile,2025-05-06 12:29:00,1,1,5
Alisha Stewart,Femme,Algérie,49.0,28864.94,Standard,2.2,24,Mobile,2025-01-09 00:15:21,0,3,1
Diana Brown,Femme,Belgique,53.0,40728.87,Familial,6.1,25,SmartTV,2025-06-26 09:41:23,0,3,6
Fred Salazar,Femme,Belgique,34.0,40728.87,Standard,16.5,28,Mobile,2025-02-12 08:43:33,1,2,2
Paige Green,Homme,Algérie,29.0,43055.2,Standard,11.9,24,Mobile,2025-02-20 16:27:07,0,3,2
Kristin Mccoy,Femme,France,26.0,23979.37,Premium,5.0,31,SmartTV,2025-04-18 21:54:33,1,4,4
Jessica Moore,Homme,Maroc,47.0,32196.4,Standard,7.1,25,Mobile,2025-04-11 23:40:06,0,4,4
Michael Yu,Femme,Canada,61.0,47421.24,Familial,9.6,24,Mobile,2025-02-22 14:19:26,0,5,2
Brian Johnston,Homme,Maroc,30.0,51572.98,Standard,31.0,28,Mobile,2025-05-14 13:38:51,0,2,5
Kevin Snow,Femme,Algérie,39.0,44350.51,Standard,2.7,20,Mobile,2025-01-26 03:58:59,0,6,1
Mr. Daniel Lyons,Femme,France,45.0,8568.41,Premium,18.8,26,Mobile,2025-05-12 23:41:59,1,0,5
Philip Hunt,Homme,Canada,43.0,35212.95,Familial,0.0,28,Mobile,2025-07-08 09:47:51,0,1,7
Christina Caldwell,Homme,France,56.0,31540.75,Familial,8.5,34,Mobile,2025-03-09 02:51:14,0,6,3
Teresa Stewart,Femme,Canada,44.0,39029.45,Standard,10.0,24,Inconnu,2025-02-22 10:53:17,1,5,2
Lisa Jones,Homme,Algérie,48.0,39007.42,Standard,16.0,19,SmartTV,2025-05-20 20:41:33,0,1,5
Mr. Zachary Young,Homme,France,35.0,42917.1,Familial,7.2,24,PC,2025-01-01 02:48:43,1,2,1
Tristan Singh,Femme,Algérie,20.0,32699.79,Familial,4.8,14,SmartTV,2025-01-11 09:32:28,0,5,1
Nicole Thompson,Femme,Algérie,48.0,47110.36,Premium,0.2,26,Tablette,2025-05-28 16:12:02,0,2,5
Catherine Hawkins,Homme,Algérie,67.0,31319.86,Familial,10.8,20,SmartTV,2025-05-21 15:13:01,1,2,5
Amber Arroyo,Homme,Belgique,64.0,47953.38,Familial,3.2,31,PC,2025-06-21 16:24:20,0,5,6
Christopher Brown,Femme,France,43.761429322122964,41374.52,Standard,1.5,33,Mobile,2025-04-28 13:07:10,0,0,4
Victoria Valentine,Homme,France,66.0,42169.29,Standard,4.8,18,SmartTV,2025-04-30 20:18:05,0,2,4
Alexander Boyd,Femme,Canada,43.761429322122964,12156.21,Premium,8.9,23,SmartTV,2025-02-01 23:52:24,0,5,2
Daniel Rocha,Homme,Belgique,51.0,49391.56,Standard,41.7,19,Mobile,2025-03-09 08:08:45,0,6,3
Patrick Tate,Homme,Algérie,52.0,38809.6,Standard,8.6,20,SmartTV,2025-06-29 22:51:22,1,6,6
Megan Anderson,Femme,Canada,54.0,44518.12,Standard,26.8,32,Mobile,2025-01-17 01:54:05,1,4,1
Gina Hernandez,Femme,Canada,31.0,48162.59,Standard,17.0,28,Mobile,2025-06-18 21:52:51,1,2,6
Michael Johnson,Homme,Algérie,47.0,37613.8,Standard,6.6,26,Mobile,2025-06-19 22:14:25,0,3,6
Julie Martin,Homme,Maroc,43.0,44593.61,Standard,19.8,28,SmartTV,2025-01-10 21:56:55,0,4,1
Jason Velasquez,Femme,France,43.761429322122964,39726.17,Premium,35.9,15,SmartTV,2025-01-14 19:24:33,0,1,1
Jaime Gonzales,Femme,Maroc,66.0,40535.29,Premium,2.6,22,Mobile,2025-01-03 02:03:03,1,4,1
Joshua Cooley,Femme,Canada,49.0,55084.96,Standard,2.2,27,SmartTV,2025-02-24 08:20:12,0,0,2
Cynthia Landry,Femme,Algérie,29.0,42412.18,Familial,14.7,36,SmartTV,2025-05-27 15:37:09,0,1,5
Patrick Wallace,Homme,Belgique,25.0,40728.87,Standard,4.4,26,Mobile,2025-01-13 18:17:39,0,0,1
Chris Taylor,Homme,Algérie,31.0,40584.87,Standard,9.7,41,SmartTV,2025-04-06 16:39:54,0,6,4
Timothy Schultz,Homme,France,59.0,13311.76,Standard,2.6,26,Mobile,2025-06-14 06:56:16,0,5,6
Jason Myers,Homme,France,26.0,46520.69,Familial,45.6,27,SmartTV,2025-01-17 23:15:10,1,4,1
Brian Ray,Homme,Canada,60.0,26560.1,Premium,1.2,28,PC,2025-04-27 02:17:08,0,6,4
Michelle Johnson,Femme,Maroc,52.0,37916.45,Standard,6.6,25,SmartTV,2025-03-08 05:41:37,0,5,3
James Harris,Femme,Canada,50.0,46778.11,Standard,13.5,26,Mobile,2025-04-12 09:42:23,1,5,4
Justin Walls,Femme,Algérie,27.0,59629.57,Premium,10.8,21,Mobile,2025-03-17 12:38:07,0,0,3
Scott Myers,Femme,Maroc,30.0,53917.18,Familial,7.5,19,PC,2025-01-04 14:06:35,0,5,1
Jerry Morales,Femme,Canada,58.0,46164.15,Standard,26.4,26,PC,2025-04-29 00:47:13,0,1,4
David Wallace,Homme,Canada,37.0,25426.99,Premium,10.4,14,SmartTV,2025-02-12 08:43:15,0,2,2
Dr. Lisa Brown MD,Homme,Maroc,62.0,45474.87,Standard,14.6,27,SmartTV,2025-01-20 20:20:21,1,0,1
Jason Brown,Femme,Algérie,59.0,56910.29,Standard,15.1,22,Mobile,2025-02-03 11:38:12,0,0,2
Victoria Juarez,Femme,France,65.0,42784.08,Premium,14.36419689119171,24,SmartTV,2025-04-17 09:29:09,0,3,4
Ashley French,Homme,Canada,49.0,46861.2,Premium,1.1,27,PC,2025-04-19 11:23:56,0,5,4
Wanda King,Homme,Maroc,37.0,30673.16,Premium,48.5,15,Inconnu,2025-03-26 02:20:59,0,2,3
Joseph Morales,Femme,Canada,20.0,40728.87,Premium,17.0,23,PC,2025-06-13 22:12:22,0,4,6
Casey Mcdaniel,Femme,Maroc,58.0,40728.87,Premium,1.7,18,SmartTV,2025-04-17 09:08:01,0,3,4
Daniel Pacheco,Femme,France,69.0,60080.37,Standard,7.4,39,Mobile,2025-06-15 05:40:46,0,6,6
Raymond Johns,Homme,Canada,24.0,32926.57,Standard,23.1,33,Mobile,2025-05-12 01:33:26,1,0,5
Ms. Anna Chavez,Homme,Maroc,48.0,56180.64,Premium,18.7,29,Mobile,2025-05-29 19:19:01,1,3,5
Kyle Lewis,Femme,Maroc,41.0,48544.38,Familial,28.3,26,Tablette,2025-01-15 12:40:39,0,2,1
Cynthia Johnson,Homme,France,27.0,43276.13,Standard,20.0,23,Tablette,2025-02-16 07:16:20,0,6,2
Leslie Davis,Femme,Canada,19.0,15104.32,Standard,16.7,23,Mobile,2025-04-03 10:09:09,0,3,4
Valerie Benson,Homme,Belgique,63.0,37592.33,Premium,29.9,29,SmartTV,2025-06-28 23:51:02,0,5,6
Lisa Davis,Femme,France,30.0,44410.12,Standard,6.8,29,Mobile,2025-05-29 13:52:39,1,3,5
Justin Kane,Homme,Canada,38.0,53918.08,Standard,1.9,35,PC,2025-05-08 20:10:46,0,3,5
Dawn Richardson,Femme,France,39.0,33928.41,Standard,3.1,25,PC,2025-06-12 04:45:55,1,3,6
Micheal Sosa,Femme,Maroc,29.0,31179.12,Premium,10.4,22,Mobile,2025-01-19 13:30:25,0,6,1
Mark Jones,Homme,Maroc,60.0,60004.15,Standard,7.4,32,Mobile,2025-02-03 21:40:02,1,0,2
Carl Dawson,Femme,France,57.0,25742.22,Premium,11.5,30,Mobile,2025-05-24 19:16:37,0,5,5
Kristin Nguyen,Homme,Algérie,35.0,40861.99,Premium,28.9,31,SmartTV,2025-02-09 03:00:06,1,6,2
Roger Long,Femme,Canada,66.0,40158.9,Standard,4.9,20,SmartTV,2025-06-06 15:19:33,0,4,6
Angela Johns,Femme,France,49.0,35493.17,Premium,6.7,8,SmartTV,2025-05-04 17:31:09,1,6,5
Sylvia Foster,Homme,Algérie,36.0,49173.74,Familial,7.5,24,PC,2025-04-23 11:00:14,0,2,4
Ryan Holt,Homme,Belgique,34.0,28234.37,Standard,11.2,25,SmartTV,2025-04-30 17:34:25,0,2,4
Gregory Whitehead,Homme,Belgique,42.0,38257.13,Premium,21.8,31,SmartTV,2025-02-15 15:40:34,0,5,2
Stephen Carlson,Non précisé,Belgique,58.0,51656.72,Premium,2.7,19,SmartTV,2025-02-19 23:47:21,0,2,2
Michelle Hernandez,Homme,Algérie,23.0,40508.74,Premium,13.2,22,Mobile,2025-06-28 06:01:44,0,5,6
Amy Morris,Homme,France,54.0,40728.87,Standard,6.1,25,PC,2025-04-03 22:49:50,1,3,4
